Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,metric_type,metric_description,person
Donax,sordidus,35,tmax,NA,NA,lethal,temperature_at_50%_damage_after_12h_treatment,SO
Donax,sordidus,33,tmax,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Donax,sordidus,29.2,tmax,NA,NA,lethal,temperature_at_50%_damage_after_48h_treatment,SO
Donax,sordidus,28.6,tmax,NA,NA,lethal,temperature_at_50%_damage_after_72h_treatment,SO
Donax,sordidus,27.2,tmax,NA,NA,lethal,temperature_at_50%_damage_after_96h_treatment,SO
Bullia,rhodostoma,34,tmax,NA,NA,lethal,temperature_at_50%_damage_after_12h_treatment,SO
Bullia,rhodostoma,33,tmax,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Bullia,rhodostoma,31.5,tmax,NA,NA,lethal,temperature_at_50%_damage_after_48h_treatment,SO
Bullia,rhodostoma,30.9,tmax,NA,NA,lethal,temperature_at_50%_damage_after_72h_treatment,SO
Bullia,rhodostoma,30.8,tmax,NA,NA,lethal,temperature_at_50%_damage_after_96h_treatment,SO
Bullia,rhodostoma,34.7,tmax,NA,NA,lethal,temperature_at_50%_damage_after_12h_treatment,SO
Bullia,rhodostoma,32,tmax,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Bullia,rhodostoma,31,tmax,NA,NA,lethal,temperature_at_50%_damage_after_48h_treatment,SO
Bullia,rhodostoma,28.8,tmax,NA,NA,lethal,temperature_at_50%_damage_after_72h_treatment,SO
Bullia,rhodostoma,28.4,tmax,NA,NA,lethal,temperature_at_50%_damage_after_96h_treatment,SO
Palirhoeus,eatoni,39.2,tmax,0.2,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,35.4,tmax,0.8,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,36.9,tmax,0.6,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,36.5,tmax,0.4,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,30.7,tmax,1,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,35.6,tmax,1.2,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,33.5,tmax,0.9,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,-1.8,tmin,0.1,SE,critical,righting_ability,SO
Palirhoeus,eatoni,-3.6,tmin,0.1,SE,critical,righting_ability,SO
Palirhoeus,eatoni,-3.1,tmin,0.1,SE,critical,righting_ability,SO
Palirhoeus,eatoni,-2.1,tmin,0.2,SE,critical,righting_ability,SO
Cophosaurus,texanus,44.4,tmax,1.5,SE,critical,onset_of_rigor,SO
Cophosaurus,texanus,44.4,tmax,1.5,SE,critical,onset_of_rigor,SO
Cophosaurus,texanus,15.4,tmin,1.9,SE,critical,onset_of_rigor,SO
Cophosaurus,texanus,15.4,tmin,1.9,SE,critical,onset_of_rigor,SO
Ctenomys,talarum,25,tmin,NA,NA,LTNZ,Temperatures_above_UTNZ_results_in_higher_metabolic_rates,SO
Ctenomys,talarum,35,tmax,NA,NA,UTNZ,Temperatures_below_LTNZ_results_in_higher_metabolic_rates,SO
Rattus,fuscipes,28.1,tmin,NA,NA,LTNZ,NA,SO
Rattus,fuscipes,28.6,tmin,NA,NA,LTNZ,NA,SO
Rattus,fuscipes,32.9,tmax,NA,NA,UTNZ,NA,SO
Rattus,fuscipes,32.8,tmax,NA,NA,UTNZ,NA,SO
Dumontia,contorta,26,tmax,NA,NA,lethal,temperature_at_100%_damage_after_5w_treatment,SO
Dumontia,contorta,26,tmax,NA,NA,lethal,temperature_at_100%_damage_after_5w_treatment,SO
Dumontia,contorta,26,tmax,NA,NA,lethal,temperature_at_100%_damage_after_5w_treatment,SO
Dumontia,contorta,0,tmin,NA,NA,critical,survival_of_microthalli_and_macrothalli,SO
Dumontia,contorta,0,tmin,NA,NA,critical,survival_of_microthalli_and_macrothalli,SO
Dumontia,contorta,0,tmin,NA,NA,critical,survival_of_microthalli_and_macrothalli,SO
Dumontia,contorta,26,tmax,NA,NA,lethal,temperature_at_100%_damage_after_5w_treatment,SO
Dumontia,contorta,0,tmin,NA,NA,critical,survival_of_microthalli_and_macrothalli,SO
Rana,pipiens,31.4,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,34.7,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,35.4,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,30.8,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,35.2,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,30,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,37,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,31,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,35.7,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,-1.6,tmin,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Rana,pipiens,-1.6,tmin,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Rana,pipiens,-1.6,tmin,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Spea,hammondii,35.6,tmax,NA,NA,critical,righting_ability,SO
Spea,hammondii,40.3,tmax,NA,NA,critical,righting_ability,SO
Spea,hammondii,0,tmin,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Spea,hammondii,35.2,tmax,NA,NA,critical,righting_ability,SO
Spea,hammondii,40,tmax,NA,NA,critical,righting_ability,SO
Spea,hammondii,1.25,tmin,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Bufo,boreas,35,tmax,NA,NA,critical,righting_ability,SO
Bufo,boreas,36,tmax,NA,NA,critical,righting_ability,SO
Bufo,boreas,37.8,tmax,NA,NA,critical,righting_ability,SO
Bufo,boreas,34.9,tmax,NA,NA,critical,righting_ability,SO
Bufo,boreas,36,tmax,NA,NA,critical,righting_ability,SO
Bufo,boreas,38.1,tmax,NA,NA,critical,righting_ability,SO
Bufo,boreas,35.2,tmax,NA,NA,critical,righting_ability,SO
Bufo,boreas,34,tmax,NA,NA,critical,righting_ability,SO
Bufo,boreas,35.5,tmax,NA,NA,critical,righting_ability,SO
Bufo,boreas,34.1,tmax,NA,NA,critical,righting_ability,SO
Bufo,boreas,36.5,tmax,NA,NA,critical,righting_ability,SO
Crinia,parainsignifera,34,tmax,NA,NA,critical,righting_ability,SO
Crinia,parainsignifera,35.1,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,parainsignifera,30.5,tmax,NA,NA,critical,righting_ability,SO
Crinia,parainsignifera,34.6,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,32.3,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,33.1,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,35.3,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,36.7,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,30.5,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,33.7,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,32.3,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,33.8,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,34.9,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,35.7,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,31.8,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,35,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,32.8,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,34.5,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,35,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,35.6,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,35.5,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,33.2,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,34.6,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,33.5,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,34.7,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,31.6,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,33,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,35.7,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,36.9,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,30.8,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,34.2,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,signifera,33.5,tmax,NA,NA,critical,righting_ability,SO
Crinia,signifera,34.6,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,victoriana,33,tmax,NA,NA,critical,righting_ability,SO
Crinia,victoriana,34.4,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,victoriana,35,tmax,NA,NA,critical,righting_ability,SO
Crinia,victoriana,36.3,tmax,NA,NA,critical,onset_of_spasm,SO
Crinia,victoriana,29.5,tmax,NA,NA,critical,righting_ability,SO
Crinia,victoriana,31.7,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,alpina,29.6,tmax,NA,NA,critical,righting_ability,SO
Hyla,alpina,31.1,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,alpina,32.9,tmax,NA,NA,critical,righting_ability,SO
Hyla,alpina,34.8,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,alpina,32.2,tmax,NA,NA,critical,righting_ability,SO
Hyla,alpina,33.7,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,alpina,29,tmax,NA,NA,critical,righting_ability,SO
Hyla,alpina,31.2,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,alpina,32.2,tmax,NA,NA,critical,righting_ability,SO
Hyla,alpina,35.1,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,aurea,33.6,tmax,NA,NA,critical,righting_ability,SO
Hyla,aurea,35.1,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,aurea,34.2,tmax,NA,NA,critical,righting_ability,SO
Hyla,aurea,35,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,aurea,30,tmax,NA,NA,critical,righting_ability,SO
Hyla,aurea,34.5,tmax,NA,NA,critical,righting_ability,SO
Hyla,aurea,35.6,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,aurea,36.2,tmax,NA,NA,critical,righting_ability,SO
Hyla,aurea,37,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,caerulea,39.3,tmax,NA,NA,critical,righting_ability,SO
Hyla,caerulea,40,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,caerulea,35.4,tmax,NA,NA,critical,righting_ability,SO
Hyla,caerulea,36.5,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,caerulea,39.2,tmax,NA,NA,critical,righting_ability,SO
Hyla,caerulea,39.9,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,caerulea,34.6,tmax,NA,NA,critical,righting_ability,SO
Hyla,chloris,37,tmax,NA,NA,critical,righting_ability,SO
Hyla,chloris,38,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,chloris,38.3,tmax,NA,NA,critical,righting_ability,SO
Hyla,chloris,39.5,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,chloris,38.9,tmax,NA,NA,critical,righting_ability,SO
Hyla,chloris,40,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,ewingi,30.7,tmax,NA,NA,critical,righting_ability,SO
Hyla,ewingi,33.9,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,ewingi,32.8,tmax,NA,NA,critical,righting_ability,SO
Hyla,ewingi,34.3,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,ewingi,32.7,tmax,NA,NA,critical,righting_ability,SO
Hyla,ewingi,36,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,ewingi,33,tmax,NA,NA,critical,righting_ability,SO
Hyla,ewingi,35.3,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,ewingi,30.8,tmax,NA,NA,critical,righting_ability,SO
Hyla,ewingi,33.6,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,ewingi,32.6,tmax,NA,NA,critical,righting_ability,SO
Hyla,ewingi,35.5,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,ewingi,32,tmax,NA,NA,critical,righting_ability,SO
Hyla,ewingi,33.8,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,ewingi,31.9,tmax,NA,NA,critical,righting_ability,SO
Hyla,ewingi,34.5,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,ewingi,34,tmax,NA,NA,critical,righting_ability,SO
Hyla,ewingi,36.1,tmax,NA,NA,critical,onset_of_spasm,SO
Hyla,glauerti,37.5,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,glauerti,38.9,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,glauerti,41.6,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,glauerti,41.7,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,glauerti,39,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,glauerti,40.3,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,glauerti,39.6,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,glauerti,40.6,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,glauerti,37.1,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,glauerti,38.2,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,glauerti,34.6,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,glauerti,35.9,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,glauerti,37.5,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,glauerti,38.4,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,gracilenta,36.6,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,gracilenta,39,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,gracilenta,38.3,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,gracilenta,39.6,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,gracilenta,38.3,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,lesueuri,32.7,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,lesueuri,34.2,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,lesueuri,35.6,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,lesueuri,31.5,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,lesueuri,34.1,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,lesueuri,34.5,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,lesueuri,30.3,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,lesueuri,32,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,lesueuri,33.1,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,lesueuri,34.8,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,peroni,31,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,peroni,35.6,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,peroni,32.6,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,peroni,36.3,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,peroni,37.7,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,peroni,33,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,peroni,35.5,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,peroni,36.2,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,peroni,37.7,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,peroni,35,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,peroni,38.1,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,phyllochroa,29.5,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,phyllochroa,29.7,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,phyllochroa,34.3,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,phyllochroa,31.4,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,phyllochroa,35,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,phyllochroa,30,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rothi,36.2,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rothi,37.5,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,rothi,38.9,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rothi,39.9,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,rothi,31.9,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rothi,34.5,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,rothi,39.4,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rothi,40.1,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,rubella,35.9,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rubella,37.6,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,rubella,39.5,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rubella,40.6,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,rubella,35.7,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rubella,37.3,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,rubella,38.7,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rubella,39.4,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,rubella,35.8,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rubella,37.6,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,rubella,39.3,tmax,NA,NA,critical,Loss_righting_reflex,FV
Hyla,rubella,40.8,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Hyla,rubella,41.6,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,dorsalis,32.1,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,dorsalis,36.5,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,dorsalis,36.9,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Limnodynastes,dorsalis,33.2,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,dorsalis,35,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,dorsalis,37,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Limnodynastes,peroni,32.7,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,peroni,34.3,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Limnodynastes,peroni,30.6,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,peroni,34.1,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,peroni,36.3,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Limnodynastes,tasmaniensis,29.8,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,tasmaniensis,33.9,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Limnodynastes,tasmaniensis,33.4,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,tasmaniensis,35,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Limnodynastes,tasmaniensis,34,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,tasmaniensis,35.1,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Limnodynastes,tasmaniensis,34.9,tmax,NA,NA,critical,Loss_righting_reflex,FV
Limnodynastes,tasmaniensis,36.6,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Cyclorana,brevipes,40,tmax,NA,NA,critical,Loss_righting_reflex,FV
Cyclorana,brevipes,40.5,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Cyclorana,brevipes,31.7,tmax,NA,NA,critical,Loss_righting_reflex,FV
Pseudophryne,bibroni,34.8,tmax,NA,NA,critical,Loss_righting_reflex,FV
Pseudophryne,bibroni,35.4,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Pseudophryne,bibroni,30.5,tmax,NA,NA,critical,Loss_righting_reflex,FV
Pseudophryne,bibroni,33.9,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Pseudophryne,bibroni,36.2,tmax,NA,NA,critical,Loss_righting_reflex,FV
Pseudophryne,bibroni,38.2,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Pseudophryne,bibroni,32.4,tmax,NA,NA,critical,Loss_righting_reflex,FV
Pseudophryne,bibroni,35.2,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Pseudophryne,bibroni,33.7,tmax,NA,NA,critical,Loss_righting_reflex,FV
Pseudophryne,bibroni,35.6,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Pseudophryne,bibroni,35,tmax,NA,NA,critical,Loss_righting_reflex,FV
Pseudophryne,bibroni,37.2,tmax,NA,NA,critical,Onset_of_spasms_(OS),FV
Lanius,collaris,NA,NA,NA,NA,NA,NA,FV
Spalacopus,cyanus,NA,NA,NA,NA,NA,NA,FV
Acomys,Russatus,NA,NA,NA,NA,NA,NA,FV
Tamias,minimus,NA,NA,NA,NA,NA,NA,FV
Cyclopes,didactylus,NA,NA,NA,NA,NA,NA,FV
Zoarces,viviparus,25.7,tmax,1.2,SD,critical,Loss_of_equilibrium_(LE),FV
Zoarces,viviparus,27.1,tmax,1,SD,critical,Loss_of_equilibrium_(LE),FV
Zoarces,viviparus,27.2,tmax,0.5,SD,critical,Loss_of_equilibrium_(LE),FV
Zoarces,viviparus,27.4,tmax,0.5,SD,critical,Loss_of_equilibrium_(LE),FV
Zoarces,viviparus,27,tmax,0.9,SD,critical,Loss_of_equilibrium_(LE),FV
Zoarces,viviparus,28,tmax,1,SD,critical,Onset_of_spasms_(OS),FV
Zoarces,viviparus,29.1,tmax,0.6,SD,critical,Onset_of_spasms_(OS),FV
Zoarces,viviparus,28.8,tmax,0.9,SD,critical,Onset_of_spasms_(OS),FV
Zoarces,viviparus,28.8,tmax,0.8,SD,critical,Onset_of_spasms_(OS),FV
Zoarces,viviparus,28.6,tmax,1.1,SD,critical,Onset_of_spasms_(OS),FV
Zoarces,viviparus,27.1,tmax,0.9,SD,critical,Loss_of_equilibrium_(LE),FV
Zoarces,viviparus,26.4,tmax,0.2,SD,critical,Loss_of_equilibrium_(LE),FV
Zoarces,viviparus,25.4,tmax,0.8,SD,critical,Loss_of_equilibrium_(LE),FV
Zoarces,viviparus,26.3,tmax,1.5,SD,critical,Loss_of_equilibrium_(LE),FV
Zoarces,viviparus,27.5,tmax,0.6,SD,critical,Loss_of_equilibrium_(LE),FV
Zoarces,viviparus,29.1,tmax,0.2,SD,critical,Onset_of_spasms_(OS),FV
Zoarces,viviparus,28.8,tmax,1.1,SD,critical,Onset_of_spasms_(OS),FV
Zoarces,viviparus,284,tmax,1.1,SD,critical,Onset_of_spasms_(OS),FV
Zoarces,viviparus,28.5,tmax,1.4,SD,critical,Onset_of_spasms_(OS),FV
Zoarces,viviparus,29.1,tmax,0.5,SD,critical,Onset_of_spasms_(OS),FV
Dumontia,contorta,26,tmax,NA,NA,lethal,Temperature_at_100%_mortality,FV
Dumontia,contorta,26,tmax,NA,NA,lethal,Temperature_at_100%_mortality,FV
Dumontia,contorta,26,tmax,NA,NA,lethal,Temperature_at_100%_mortality,FV
Dipsosaurus,dorsalis,47.5,tmax,NA,NA,critical,Loss_righting_reflex,FV
Dipsosaurus,dorsalis,47,tmax,NA,NA,critical,Loss_righting_reflex,FV
Dipsosaurus,dorsalis,13.8,tmin,1.2,SD,critical,Loss_righting_reflex,FV
Dipsosaurus,dorsalis,14.2,tmin,1,SD,critical,Loss_righting_reflex,FV
Desmarestia,aculeata,22.4,tmax,NA,NA,lethal,Temperature_at_50%_survival,FV
Desmarestia,aculeata,21.8,tmax,NA,NA,lethal,Temperature_at_50%_survival,FV
Desmarestia,aculeata,22.6,tmax,NA,NA,lethal,Temperature_at_50%_survival,FV
Desmarestia,aculeata,24.5,tmax,NA,NA,lethal,Temperature_at_50%_survival,FV
Desmarestia,viridis,26.4,tmax,NA,NA,lethal,Temperature_at_50%_survival,FV
Desmarestia,viridis,26.4,tmax,NA,NA,lethal,Temperature_at_50%_survival,FV
Desmarestia,viridis,26.7,tmax,NA,NA,lethal,Temperature_at_50%_survival,FV
Desmarestia,viridis,27.2,tmax,NA,NA,lethal,Temperature_at_50%_survival,FV
Desmarestia,viridis,27.4,tmax,NA,NA,lethal,Temperature_at_50%_survival,FV
NA,NA,NA,NA,NA,NA,NA,NA,FV
